name,version,api-level,revision,description,obsolete,windowsSize,windowsSHA1,windowsURL,macosxSize,macosxSHA1,macosxURL,linuxSize,linuxSHA1,linuxURL
SDK Platform,8.0.0,26,2,Android SDK Platform 26,false,63623734,e4ae5d7aa557a3c827135838ee400da8443ac4ef,https://dl.google.com/android/repository/platform-26_r02.zip,63623734,e4ae5d7aa557a3c827135838ee400da8443ac4ef,https://dl.google.com/android/repository/platform-26_r02.zip,63623734,e4ae5d7aa557a3c827135838ee400da8443ac4ef,https://dl.google.com/android/repository/platform-26_r02.zip
SDK Platform,7.1.1,25,3,Android SDK Platform 25,false,85424763,00c2c5765e8988504be10a1eb66ed71fcdbd7fe8,https://dl.google.com/android/repository/platform-25_r03.zip,85424763,00c2c5765e8988504be10a1eb66ed71fcdbd7fe8,https://dl.google.com/android/repository/platform-25_r03.zip,85424763,00c2c5765e8988504be10a1eb66ed71fcdbd7fe8,https://dl.google.com/android/repository/platform-25_r03.zip
SDK Platform,7.0,24,2,Android SDK Platform 24,false,82648154,8912da3d4bfe7a9f28f0e5ce92d3a8dc96342aee,https://dl.google.com/android/repository/platform-24_r02.zip,82648154,8912da3d4bfe7a9f28f0e5ce92d3a8dc96342aee,https://dl.google.com/android/repository/platform-24_r02.zip,82648154,8912da3d4bfe7a9f28f0e5ce92d3a8dc96342aee,https://dl.google.com/android/repository/platform-24_r02.zip
SDK Platform,6.0,23,3,Android SDK Platform 23,false,70433421,027fede3de6aa1649115bbd0bffff30ccd51c9a0,https://dl.google.com/android/repository/platform-23_r03.zip,70433421,027fede3de6aa1649115bbd0bffff30ccd51c9a0,https://dl.google.com/android/repository/platform-23_r03.zip,70433421,027fede3de6aa1649115bbd0bffff30ccd51c9a0,https://dl.google.com/android/repository/platform-23_r03.zip
SDK Platform,5.1.1,22,2,Android SDK Platform 22,false,66852371,5d1bd10fea962b216a0dece1247070164760a9fc,https://dl.google.com/android/repository/android-22_r02.zip,66852371,5d1bd10fea962b216a0dece1247070164760a9fc,https://dl.google.com/android/repository/android-22_r02.zip,66852371,5d1bd10fea962b216a0dece1247070164760a9fc,https://dl.google.com/android/repository/android-22_r02.zip
SDK Platform,5.0.1,21,2,Android SDK Platform 21,false,65897960,53536556059bb29ae82f414fd2e14bc335a4eb4c,https://dl.google.com/android/repository/android-21_r02.zip,65897960,53536556059bb29ae82f414fd2e14bc335a4eb4c,https://dl.google.com/android/repository/android-21_r02.zip,65897960,53536556059bb29ae82f414fd2e14bc335a4eb4c,https://dl.google.com/android/repository/android-21_r02.zip
SDK Platform,4.4W.2,20,2,Android SDK Platform 20,false,63567784,a9251f8a3f313ab05834a07a963000927637e01d,https://dl.google.com/android/repository/android-20_r02.zip,63567784,a9251f8a3f313ab05834a07a963000927637e01d,https://dl.google.com/android/repository/android-20_r02.zip,63567784,a9251f8a3f313ab05834a07a963000927637e01d,https://dl.google.com/android/repository/android-20_r02.zip
SDK Platform,4.4.2,19,4,Android SDK Platform 19,false,63871092,2ff20d89e68f2f5390981342e009db5a2d456aaa,https://dl.google.com/android/repository/android-19_r04.zip,63871092,2ff20d89e68f2f5390981342e009db5a2d456aaa,https://dl.google.com/android/repository/android-19_r04.zip,63871092,2ff20d89e68f2f5390981342e009db5a2d456aaa,https://dl.google.com/android/repository/android-19_r04.zip
SDK Platform,4.3.1,18,3,Android SDK Platform 18,false,57771739,e6b09b3505754cbbeb4a5622008b907262ee91cb,https://dl.google.com/android/repository/android-18_r03.zip,57771739,e6b09b3505754cbbeb4a5622008b907262ee91cb,https://dl.google.com/android/repository/android-18_r03.zip,57771739,e6b09b3505754cbbeb4a5622008b907262ee91cb,https://dl.google.com/android/repository/android-18_r03.zip
SDK Platform,4.2.2,17,3,Android SDK Platform 17,false,57030216,dbe14101c06e6cdb34e300393e64e64f8c92168a,https://dl.google.com/android/repository/android-17_r03.zip,57030216,dbe14101c06e6cdb34e300393e64e64f8c92168a,https://dl.google.com/android/repository/android-17_r03.zip,57030216,dbe14101c06e6cdb34e300393e64e64f8c92168a,https://dl.google.com/android/repository/android-17_r03.zip
